# Force and moment coefficients
# dragDir      : (1.0000000e+00 0.0000000e+00 0.0000000e+00)
# sideDir      : (0.0000000e+00 0.0000000e+00 -1.0000000e+00)
# liftDir      : (0.0000000e+00 1.0000000e+00 0.0000000e+00)
# rollAxis     : (1.0000000e+00 0.0000000e+00 0.0000000e+00)
# pitchAxis    : (0.0000000e+00 0.0000000e+00 -1.0000000e+00)
# yawAxis      : (0.0000000e+00 1.0000000e+00 0.0000000e+00)
# magUInf      : 7.5000000e-01
# lRef         : 1.0000000e+00
# Aref         : 1.0000000e-02
# CofR         : (0.0000000e+00 0.0000000e+00 0.0000000e+00)
#
# Time         	Cd             	Cd(f)          	Cd(r)          	Cl             	Cl(f)          	Cl(r)          	CmPitch        	CmRoll         	CmYaw          	Cs             	Cs(f)          	Cs(r)          
45             	7.8189509e-01	3.9767781e-01	3.8421728e-01	-1.3460528e+00	-1.0154241e+00	-3.3062873e-01	-3.4239770e-01	6.7302642e-03	3.9094754e-03	1.9571642e-19	3.9094754e-03	-3.9094754e-03
46             	7.9951611e-01	4.0664678e-01	3.9286933e-01	-1.3777446e+00	-1.0301722e+00	-3.4757242e-01	-3.4129987e-01	6.8887229e-03	3.9975806e-03	1.8934153e-19	3.9975806e-03	-3.9975806e-03
47             	8.0800116e-01	4.1097044e-01	3.9703072e-01	-1.3939727e+00	-1.0376404e+00	-3.5633223e-01	-3.4065409e-01	6.9698633e-03	4.0400058e-03	1.7872026e-19	4.0400058e-03	-4.0400058e-03
48             	8.0913525e-01	4.1155711e-01	3.9757814e-01	-1.3978975e+00	-1.0391137e+00	-3.5878379e-01	-3.4016495e-01	6.9894874e-03	4.0456763e-03	1.8924824e-19	4.0456763e-03	-4.0456763e-03
49             	8.0640034e-01	4.1017761e-01	3.9622273e-01	-1.3954885e+00	-1.0373364e+00	-3.5815214e-01	-3.3959212e-01	6.9774426e-03	4.0320017e-03	1.8293064e-19	4.0320017e-03	-4.0320017e-03
50             	8.0300465e-01	4.0846339e-01	3.9454126e-01	-1.3922136e+00	-1.0350138e+00	-3.5719973e-01	-3.3890704e-01	6.9610678e-03	4.0150232e-03	1.7386692e-19	4.0150232e-03	-4.0150232e-03
51             	8.0126327e-01	4.0759170e-01	3.9367157e-01	-1.3920127e+00	-1.0341454e+00	-3.5786732e-01	-3.3813905e-01	6.9600637e-03	4.0063164e-03	1.8354435e-19	4.0063164e-03	-4.0063164e-03
52             	8.0229554e-01	4.0813157e-01	3.9416397e-01	-1.3967599e+00	-1.0355575e+00	-3.6120246e-01	-3.3717751e-01	6.9837997e-03	4.0114777e-03	1.8155243e-19	4.0114777e-03	-4.0114777e-03
53             	8.0608470e-01	4.1007426e-01	3.9601045e-01	-1.4063811e+00	-1.0393469e+00	-3.6703420e-01	-3.3615633e-01	7.0319053e-03	4.0304235e-03	1.8732931e-19	4.0304235e-03	-4.0304235e-03
54             	8.1175153e-01	4.1297211e-01	3.9877942e-01	-1.4192695e+00	-1.0449063e+00	-3.7436319e-01	-3.3527157e-01	7.0963476e-03	4.0587576e-03	1.8642121e-19	4.0587576e-03	-4.0587576e-03
55             	8.1810077e-01	4.1621736e-01	4.0188341e-01	-1.4333958e+00	-1.0513657e+00	-3.8203016e-01	-3.3466777e-01	7.1669792e-03	4.0905039e-03	1.7468158e-19	4.0905039e-03	-4.0905039e-03
